URN,School name,Postcode,Overall effectiveness
141495,Handsworth Grange Community Sports College,S13 9HJ,1
142074,Wisewood Community Primary School,S6 4SD,3
142274,Nether Edge Primary School,S7 1RB,1
142311,Hallam Primary School,S10 4BD,2
142542,Beck Primary School,S5 0GG,2
142600,"St Thomas More Catholic Primary, A Voluntary Academy",S35 8NN,2
142605,UTC Sheffield Olympic Legacy Park,S9 3TU,2
142663,Hucklow Primary School,S5 6TB,2
142749,Tinsley Meadows Primary School,S9 1SG,2
142937,Lower Meadow Primary School,S8 8EE,2
143052,Abbeyfield Primary Academy,S3 9AN,2
143061,Byron Wood Primary Academy,S4 7EJ,2
143546,Acres Hill Community Primary School,S9 4GQ,2
143620,Wybourn Community Primary & Nursery School,S2 5ED,2
143798,Phillimore Community Primary School,S9 5EF,2
143799,Manor Lodge Community Primary and Nursery School,S2 1UF,2
143963,The Birley Academy,S12 3BP,3
143964,Birley Primary Academy,S12 3AB,2
143965,Birley Spa Primary Academy,S12 4QE,3
143970,Charnock Hall Primary Academy,S12 3HS,2
143997,Rainbow Forge Primary Academy,S12 4LQ,3
144481,Hatfield Academy,S5 6HY,3
144482,Hartley Brook Primary School,S5 0JF,2
145191,Ecclesfield School,S35 9WD,4
145274,Stocksbridge High School,S36 1FD,3
145373,Windmill Hill Primary School,S35 1ZD,2
145374,Greenhill Primary School,S8 7RA,3
145413,Norfolk Community Primary School,S2 2PJ,3
145455,High Storrs School,S11 7LH,2
145562,Westfield School,S20 1HQ,4
145832,Oughtibridge Primary School,S35 0HG,1
145864,Astrea Academy Sheffield,S3 9BE,NULL
145897,Mercia School,S7 2DY,NULL
145943,Yewlands Academy,S35 8NN,4
146012,Nook Lane Junior School,S6 6BN,2
146405,Loxley Primary School,S6 6SG,1
146488,Bradfield Dungworth Primary School,S6 6HE,2
146498,Wharncliffe Side Primary School,S35 0DD,2
146510,Stannington Infant School,S6 6AN,1
146841,Pye Bank CofE Primary School,S3 9EF,3
147136,Becton School,S20 1NZ,1
147375,Woodseats Primary School,S8 0SB,2
147481,Totley All Saints Church of England Voluntary Aided Primary School,S17 4AP,1
147621,Whiteways Primary School,S4 8EX,2
147622,Owler Brook Primary School,S4 8HQ,2
147788,Bradfield School,S35 0AE,4
